"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"267"," ","IFNG"," "," ","IL2","GATA3","IL10"
"268"," ","GATA3"," "," ","TGFB","IL4","BCL6"
"269"," ","IL2"," "," "," ","IL21","IL9"
"270"," ","IL4"," "," "," ","FOXP3"," "
"271"," ","RORGT"," "," "," "," "," "
"272"," ","IL21"," "," "," "," "," "
"273"," ","FOXP3"," "," "," "," "," "
"274"," ","TGFB"," "," "," "," "," "
"275"," ","IL10"," "," "," "," "," "
"276"," ","BCL6"," "," "," "," "," "
"277"," ","IL9"," "," "," "," "," "
"278"," "," "," "," "," "," "," "
"279","Mendez2016","Irf4","CD40L"," ","CD40L","Irf4","Ag"
"280"," ","Bcl6","IL4"," ","IL4","Blimp1","IL2"
"281"," ","Blimp1","Ag"," ","IL2R","Pax5","IL21"
"282"," ","Pax5","IL2"," ","BCR","NFkB","XBP1"
"283"," "," ","IL21"," ","ERK"," ","STAT5"
"284"," "," ","IL2R"," ","CD40"," ","Bach2"
"285"," "," ","XBP1"," ","STAT3"," ","Bcl6"
"286"," "," ","STAT5"," ","IL4R"," ","STAT6"
"287"," "," ","BCR"," ","IL21R"," ","AID"
"288"," "," ","Bach2"," "," "," "," "
"289"," "," ","ERK"," "," "," "," "
"290"," "," ","STAT6"," "," "," "," "
"291"," "," ","CD40"," "," "," "," "
"292"," "," ","STAT3"," "," "," "," "
"293"," "," ","IL4R"," "," "," "," "
"294"," "," ","IL21R"," "," "," "," "
"295"," "," ","AID"," "," "," "," "
"296"," "," ","NFkB"," "," "," "," "
"297"," "," "," "," "," "," "," "
"298","Mendez-Lopez2017","Snai2","TELase"," ","ESE2","Snai2","Cyclin"
"299"," ","ESE2","Rb"," ","p16","NFkB","TELase"
"300"," ","NFkB"," "," "," ","p53","Rb"
"301"," ","p16"," "," "," "," ","E2F"
"302"," ","p53"," "," "," "," "," "
"303"," ","Cyclin"," "," "," "," "," "
"304"," ","E2F"," "," "," "," "," "
"305"," "," "," "," "," "," "," "
"306","Mendoza2006","GATA3","IFNb"," ","STAT6","IL12R","IFNb"
"307"," ","Tbet","TCR"," ","IL4R","GATA3","TCR"
"308"," ","IFNg","IL18"," ","STAT3","Tbet","IL18"
"309"," "," ","IL12"," ","IL18R","SOCS1","IL12"
"310"," "," ","IRAK"," ","IFNg"," ","IRAK"
"311"," "," ","STAT6"," ","IFNgR"," ","NFAT"
"312"," "," ","IL12R"," ","STAT1"," ","STAT4"
"313"," "," ","IL4R"," ","IL10R"," ","JAK1"
"314"," "," ","NFAT"," ","IL10"," ","IL4"
"315"," "," ","STAT3"," "," "," ","IFNbR"
"316"," "," ","STAT4"," "," "," "," "
"317"," "," ","IL18R"," "," "," "," "
"318"," "," ","IFNgR"," "," "," "," "
"319"," "," ","SOCS1"," "," "," "," "
"320"," "," ","STAT1"," "," "," "," "
"321"," "," ","JAK1"," "," "," "," "
"322"," "," ","IL4"," "," "," "," "
"323"," "," ","IFNbR"," "," "," "," "
"324"," "," ","IL10R"," "," "," "," "
"325"," "," ","IL10"," "," "," "," "
"326"," "," "," "," "," "," "," "
"327","Meyer2017","DNAD","Oncogene"," ","Oncogene","p53","DNAD"
"328"," ","p53","Hypoxia"," ","p16INK4","p21","Hypoxia"
"329"," ","IkB","ATM"," ","CDK4","RB","ATM"
"330"," ","NFkB","CHK2"," ","IKK","E2F","CHK2"
"331"," ","IRAK","ATR"," ","NFkB","IkB","ATR"
"332"," ","cJun","CHK1"," ","IL1","TAB","CHK1"
"333"," ","cFos","HIF1"," ","IL1R","cJun","HIF1"
"334"," ","IL6","p21"," ","IRAK","cFos","CDK2"
"335"," ","STAT3","CDK2"," ","TRAF6","IL8","pRB"
"336"," "," ","RB"," ","TAK1","IL6","MDM2"
"337"," "," ","pRB"," ","MKK"," ","NEMO"
"338"," "," ","E2F"," ","AP1"," ","MyD88"
"339"," "," ","MDM2"," ","MKP1"," ","MEKK"
"340"," "," ","p16INK4"," ","PI3K"," ","JNK"
"341"," "," ","CDK4"," ","JAK"," ","p38"
"342"," "," ","NEMO"," ","Akt"," ","NIK"
"343"," "," ","IKK"," ","ERK1_2"," ","IL6R"
"344"," "," ","IL1"," ","Elk1"," ","GP130"
"345"," "," ","IL1R"," ","STAT3"," ","mTOR"
"346"," "," ","MyD88"," "," "," ","SOCS3"
"347"," "," ","TRAF6"," "," "," ","MEK1_2"
"348"," "," ","TAB"," "," "," ","CEBPbeta"
"349"," "," ","TAK1"," "," "," "," "
"350"," "," ","MEKK"," "," "," "," "
"351"," "," ","MKK"," "," "," "," "
"352"," "," ","JNK"," "," "," "," "
"353"," "," ","p38"," "," "," "," "
"354"," "," ","AP1"," "," "," "," "
"355"," "," ","MKP1"," "," "," "," "
"356"," "," ","IL8"," "," "," "," "
"357"," "," ","NIK"," "," "," "," "
"358"," "," ","IL6R"," "," "," "," "
"359"," "," ","GP130"," "," "," "," "
"360"," "," ","PI3K"," "," "," "," "
"361"," "," ","JAK"," "," "," "," "
"362"," "," ","Akt"," "," "," "," "
"363"," "," ","mTOR"," "," "," "," "
"364"," "," ","SOCS3"," "," "," "," "
"365"," "," ","MEK1_2"," "," "," "," "
"366"," "," ","ERK1_2"," "," "," "," "
"367"," "," ","Elk1"," "," "," "," "
"368"," "," ","CEBPbeta"," "," "," "," "
"369"," "," "," "," "," "," "," "
"370","Orlando2008","SBF","MBF"," ","SFF","MBF","YOX1"
"371"," ","CLN3","YOX1"," ","CLN3","SBF","HCM1"
"372"," "," ","HCM1"," "," ","ACE2","YHP1"
"373"," "," ","YHP1"," "," ","SWI5"," "
"374"," "," ","SFF"," "," "," "," "
"375"," "," ","ACE2"," "," "," "," "
"376"," "," ","SWI5"," "," "," "," "
"377"," "," "," "," "," "," "," "
"378","Ortiz-Gutierrez2015","CYCD31","CYCA23"," ","SCF","RBR","CYCD31"
"379"," ","SCF"," "," ","E2Fa","E2Fc","E2Fb"
"380"," ","RBR"," "," ","CYCA23","MYB77","E2Fe"
"381"," ","E2Fa"," "," ","APCC","MYB3R14","CYCB11"
"382"," ","E2Fb"," "," "," ","CDKB11","KRP1"
"383"," ","E2Fc"," "," "," "," "," "
"384"," ","E2Fe"," "," "," "," "," "
"385"," ","MYB77"," "," "," "," "," "
"386"," ","MYB3R14"," "," "," "," "," "
"387"," ","CYCB11"," "," "," "," "," "
"388"," ","CDKB11"," "," "," "," "," "
"389"," ","KRP1"," "," "," "," "," "
"390"," ","APCC"," "," "," "," "," "
"391"," "," "," "," "," "," "," "
"392","Rios2015","UGR","WT1pKTS"," ","UGR","WT1mKTS","CBX2"
"393"," ","CBX2","FGF9"," ","GATA4","NR5A1","WT1pKTS"
"394"," ","GATA4","PGD2"," ","FGF9","NR0B1","PGD2"
"395"," ","WT1mKTS","DMRT1"," ","DKK1","SRY","DMRT1"
"396"," ","NR5A1","DHH"," ","WNT4","SOX9","DHH"
"397"," ","NR0B1","DKK1"," ","FOXL2"," ","AMH"
"398"," ","SRY","RSPO1"," ","CTNNB1"," ","RSPO1"
"399"," ","SOX9"," "," "," "," "," "
"400"," ","AMH"," "," "," "," "," "
"401"," ","WNT4"," "," "," "," "," "
"402"," ","FOXL2"," "," "," "," "," "
"403"," ","CTNNB1"," "," "," "," "," "
"404"," "," "," "," "," "," "," "
"405","Saadatpour2011","DISC","CTLA4"," ","GPCR","CTLA4","TCR"
"406"," ","Apoptosis","TCR"," ","sFas","IFNG","CREB"
"407"," "," ","CREB"," ","Ceramide","Apoptosis","P2"
"408"," "," ","IFNG"," ","DISC"," ","SMAD"
"409"," "," ","P2"," ","Caspase"," ","Fas"
"410"," "," ","GPCR"," ","BID"," ","FLIP"
"411"," "," ","SMAD"," ","MCL1"," ","IAP"
"412"," "," ","Fas"," ","S1P"," "," "
"413"," "," ","sFas"," "," "," "," "
"414"," "," ","Ceramide"," "," "," "," "
"415"," "," ","Caspase"," "," "," "," "
"416"," "," ","FLIP"," "," "," "," "
"417"," "," ","BID"," "," "," "," "
"418"," "," ","IAP"," "," "," "," "
"419"," "," ","MCL1"," "," "," "," "
"420"," "," ","S1P"," "," "," "," "
"421"," "," "," "," "," "," "," "
"422","Sahin2009","p27","EGF"," ","ErbB2_3","CDK6","EGF"
"423"," ","CDK4","ErbB2_3"," ","ErbB1","p27","ErbB1_2"
"424"," ","CycD1","CDK6"," ","CycD1","CDK4","pRB"
"425"," ","cMYC","ErbB1_2"," ","cMYC","Akt1","CycE1"
"426"," ","Akt1","ErbB1"," "," ","MEK1","ErbB1_3"
"427"," ","MEK1","pRB"," "," ","ERa","ErbB3"
"428"," ","ERa","CycE1"," "," ","p21","IGF1R"
"429"," ","p21","ErbB1_3"," "," "," ","ErbB2"
"430"," "," ","ErbB3"," "," "," ","CDK2"
"431"," "," ","IGF1R"," "," "," "," "
"432"," "," ","ErbB2"," "," "," "," "
"433"," "," ","CDK2"," "," "," "," "
"434"," "," "," "," "," "," "," "
"435","Sankar2011","AuxREs","BRX"," ","BRX","AUXIAA","NGA1"
"436"," "," ","NGA1"," ","ARFi","AuxREs","IAABiosynthesis"
"437"," "," ","ARFi"," ","ARFa","IAA","PIN"
"438"," "," ","IAABiosynthesis"," ","SCFTir1","BZR1","Elongation"
"439"," "," ","ARFa"," ","BR","BRREs","BRBiosynthesis"
"440"," "," ","AUXIAA"," ","BRI1BAK1"," ","StimAux"
"441"," "," ","IAA"," ","BIN2"," ","StimBR"
"442"," "," ","PIN"," ","BES1BZR2"," "," "
"443"," "," ","SCFTir1"," "," "," "," "
"444"," "," ","Elongation"," "," "," "," "
"445"," "," ","BR"," "," "," "," "
"446"," "," ","BRI1BAK1"," "," "," "," "
"447"," "," ","BIN2"," "," "," "," "
"448"," "," ","BES1BZR2"," "," "," "," "
"449"," "," ","BZR1"," "," "," "," "
"450"," "," ","BRREs"," "," "," "," "
"451"," "," ","BRBiosynthesis"," "," "," "," "
"452"," "," ","StimAux"," "," "," "," "
"453"," "," ","StimBR"," "," "," "," "
"454"," "," "," "," "," "," "," "
"455","Siegle2018","Wnt","axin"," ","GSK3b","axin","Wnt"
"456"," ","GSK3b","DC"," ","DC","Rho","TCF"
"457"," ","Rho","bcatenin"," ","bcatenin","Rac","FoxO"
"458"," ","Rac","TCF"," ","Akt","PKC","MEKK1"
"459"," ","PI3K","FoxO"," ","TSC2","PI3K","JNK"
"460"," ","Akt","MEKK1"," ","Raf","mTORC2","IGF"
"461"," ","mTORC2","JNK"," ","ERK"," ","IRS"
"462"," "," ","PKC"," "," "," ","mTORC1"
"463"," "," ","IGF"," "," "," ","S6K"
"464"," "," ","IRS"," "," "," ","Ras"
"465"," "," ","TSC2"," "," "," "," "
"466"," "," ","mTORC1"," "," "," "," "
"467"," "," ","S6K"," "," "," "," "
"468"," "," ","Ras"," "," "," "," "
"469"," "," ","Raf"," "," "," "," "
"470"," "," ","ERK"," "," "," "," "
"471"," "," "," "," "," "," "," "
"472","Sridharan2012","ROS","Stress"," ","Ras","ROS","Stress"
"473"," "," ","Ras"," ","PTEN","p53","Bach1"
"474"," "," ","PTEN"," ","ATM","Mdm2","PKC"
"475"," "," ","ATM"," ","PIP3","Bad","GSK3b"
"476"," "," ","Bach1"," ","PI3K","ARE","Bcl2"
"477"," "," ","PKC"," ","PIP2","Nrf2","Keap1"
"478"," "," ","PIP3"," ","Akt"," "," "
"479"," "," ","PI3K"," "," "," "," "
"480"," "," ","PIP2"," "," "," "," "
"481"," "," ","Akt"," "," "," "," "
"482"," "," ","GSK3b"," "," "," "," "
"483"," "," ","p53"," "," "," "," "
"484"," "," ","Mdm2"," "," "," "," "
"485"," "," ","Bad"," "," "," "," "
"486"," "," ","Bcl2"," "," "," "," "
"487"," "," ","Keap1"," "," "," "," "
"488"," "," ","ARE"," "," "," "," "
"489"," "," ","Nrf2"," "," "," "," "
"490"," "," "," "," "," "," "," "
"491","Sun2014"," ","pmar1"," ","pmar1","hesC","gcm"
"492"," "," ","hesC"," ","delta","ets1","hox11_13b"
"493"," "," ","delta"," ","aNotch","alx1"," "
"494"," "," ","ets1"," "," "," "," "
"495"," "," ","alx1"," "," "," "," "
"496"," "," ","gcm"," "," "," "," "
"497"," "," ","aNotch"," "," "," "," "
"498"," "," ","hox11_13b"," "," "," "," "
"499"," "," "," "," "," "," "," "
"500","Thakar2012","IgG","NE"," ","DCI","IgG","NE"
"501"," ","IFNgI","DP"," ","Th2II","BC","DP"
"502"," ","MPI","IL12I"," ","IL4I","IFNgI","IL12I"
"503"," ","IL12II","Th1I"," ","Th1II","IFNgII","Th1I"
"504"," ","T0","BC"," ","PH","MPI","Oag"
"505"," ","PIC","DCI"," ","PIC","IL12II","TTSSII"
"506"," ","IL10I","Oag"," ","IL10I","T0","Th2I"
"507"," ","IL4II","TTSSII"," ","DCII","IL4II","IL10II"
"508"," ","DCII","IFNgII"," ","TrII","AP","AgAb"
"509"," ","AP","Th2II"," ","TrI","Bb","IgA"
"510"," ","Bb","Th2I"," ","TTSSI"," ","EC"
"511"," ","IgA","IL4I"," "," "," ","C"
"512"," ","TTSSI","IL10II"," "," "," "," "
"513"," "," ","Th1II"," "," "," "," "
"514"," "," ","AgAb"," "," "," "," "
"515"," "," ","PH"," "," "," "," "
"516"," "," ","TrII"," "," "," "," "
"517"," "," ","TrI"," "," "," "," "
"518"," "," ","EC"," "," "," "," "
"519"," "," ","C"," "," "," "," "
"520"," "," "," "," "," "," "," "
"521","Todd2012","Sic1","SpindleCP"," ","SMBF","FEAR","SpindleCP"
"522"," ","Cdc20","Size"," ","Yhp1","Cln2","Size"
"523"," ","Clb2","BuddingCP"," ","Whi5","Cln3","BuddingCP"
"524"," ","Swi5","Start"," "," ","Cdc20","Start"
"525"," "," ","SMBF"," "," ","MEN","Sic1"
"526"," "," ","Clb5"," "," ","Clb2","Clb5"
"527"," "," ","Yhp1"," "," ","Cdc14","Swe1"
"528"," "," ","FEAR"," "," "," ","SFF"
"529"," "," ","Cln2"," "," "," ","Swi5"
"530"," "," ","Whi5"," "," "," ","Cdh1"
"531"," "," ","Swe1"," "," "," "," "
"532"," "," ","Cln3"," "," "," "," "
"533"," "," ","MEN"," "," "," "," "
"534"," "," ","SFF"," "," "," "," "
"535"," "," ","Cdh1"," "," "," "," "
"536"," "," ","Cdc14"," "," "," "," "
"537"," "," "," "," "," "," "," "
"538","Yousefi2013","WNT5A","pirin"," ","S100P","WNT5A","pirin"
"539"," ","RET1","S100P"," "," ","RET1","MART1"
"540"," ","synuclein","MMP3"," "," ","MMP3","HADHB"
"541"," "," ","PHOC"," "," ","PHOC"," "
"542"," "," ","MART1"," "," ","synuclein"," "
"543"," "," ","HADHB"," "," ","STC2"," "
"544"," "," ","STC2"," "," "," "," "
"545"," "," "," "," "," "," "," "
